A/D,Tren,Linia,PE,MG,IC,EU,GO,SP,LH,AL,CO,BO,ML,CG,CL,VH,CR,QC,PA,SA,PL,MV,MC,ME,AB,OL,MO,AE,CB,SV,VI,MA,MB,SE,BE,CP,MQ,PI,VA,CA,PO,VN,IG
A,T301,R6,,,,,,,,,,,,,,,,,,,,,5:03,5:05,,,,,,,,,,5:11,5:17,5:18,5:21,5:27,5:33,5:37,5:42,5:47,5:49
A,R301,R5,,,,,,,,,,,,,,,,,,,,,5:10,5:12,5:18,5:21,5:29,5:33,5:38,5:43,5:50,5:53,5:54,,,,,,,,,,
A,T303,R6,,,,,,,,,,,,,,,,,,,,,5:31,5:33,,,,,,,,,,5:39,5:45,5:46,5:49,5:55,6:01,6:07,6:12,6:17,6:19
A,R303,R5,,,,,,,,,,,,,,,,,,,,,5:38,5:40,5:46,5:49,5:57,6:01,6:06,6:11,6:18,6:21,6:22,,,,,,,,,,
A,O001,S4,5:00,5:02,5:04,5:06,5:08,5:10,5:11,5:14,5:16,5:19,5:21,5:23,5:24,5:27,5:29,5:31,5:33,5:37,5:39,5:43,5:45,5:47,5:53,5:56,,,,,,,,,,,,,,,,,
A,T305,R6,,,,,,,,,,,,,,,,,,,,,5:51,5:53,,,,,,,,,,5:59,6:05,6:06,6:09,6:17,6:23,6:27,6:33,6:38,6:40
A,N401,R5,5:16,5:18,5:20,5:22,5:24,5:26,5:27,5:30,5:32,5:35,5:37,,,5:41,5:43,5:45,5:47,5:51,5:53,,5:58,6:00,6:06,6:09,6:17,6:21,6:26,6:31,6:39,6:41,6:43,,,,,,,,,,
A,T307,R6,,,,,,,,,,,,,,,,,,,,,6:03,6:05,,,,,,,,,,6:11,6:17,6:18,6:23,6:29,6:35,6:39,6:44,6:49,6:51
A,P401,R6,5:32,5:34,5:36,5:38,5:40,5:42,5:43,5:46,5:48,5:51,5:53,,5:56,5:58,6:00,6:02,6:04,6:08,6:10,,6:15,6:17,,,,,,,,,,6:32,6:38,6:39,6:42,6:48,6:55,6:58,7:04,7:09,7:11
A,R305,R5,,,,,,,,,,,,,,,,,,,,,6:18,6:20,6:26,6:29,6:37,6:41,6:46,6:51,6:58,7:01,7:02,,,,,,,,,,
A,L001,L8,5:41,5:43,5:45,5:47,5:49,5:51,5:52,5:55,5:57,6:00,6:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,O003,S4,5:50,5:52,5:54,5:56,5:58,6:00,6:01,6:04,6:06,6:09,6:11,6:13,6:14,6:17,6:19,6:21,6:23,6:27,6:29,6:33,6:35,6:37,6:43,6:46,,,,,,,,,,,,,,,,,
A,T309,R6,,,,,,,,,,,,,,,,,,,,,6:37,6:39,,,,,,,,,,6:45,6:51,6:52,6:57,7:08,7:15,7:18,7:24,7:29,7:31
A,V001,S3,6:01,6:03,6:05,6:07,6:09,6:11,6:12,6:15,6:17,6:20,6:22,6:24,6:25,6:28,6:30,,,,,,,,,,,,,,,,,,,,,,,,,,
A,P403,R6,6:12,6:14,6:16,6:18,6:20,6:22,6:23,6:26,6:28,6:31,6:33,,6:36,6:38,6:40,6:42,6:44,6:48,6:50,,6:55,6:57,,,,,,,,,,7:05,7:11,7:12,7:17,7:28,7:35,7:38,7:44,7:49,7:51
A,N403,R5,6:16,6:18,6:20,6:22,6:24,6:26,6:27,6:30,6:32,6:35,6:37,,,6:41,6:43,6:45,6:47,6:51,6:53,,6:58,7:00,7:06,7:09,7:17,7:21,7:26,7:31,7:39,7:41,7:43,,,,,,,,,,
A,O005,S4,6:22,6:24,6:26,6:28,6:30,6:32,6:33,6:36,6:38,6:41,6:43,6:45,6:46,6:49,6:51,6:53,6:55,6:59,7:01,7:05,7:07,7:09,7:15,7:18,,,,,,,,,,,,,,,,,
A,L003,L8,6:28,6:30,6:32,6:34,6:36,6:38,6:39,6:42,6:44,6:47,6:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,P405,R6,6:32,6:34,6:36,6:38,6:40,6:42,6:43,6:46,6:48,6:51,6:53,,6:56,6:58,7:00,7:02,7:04,7:08,7:10,,7:15,7:17,,,,,,,,,,7:25,7:31,7:32,7:37,7:48,7:55,7:58,8:04,8:09,8:11
A,N405,R5,6:36,6:38,6:40,6:42,6:44,6:46,6:47,6:50,6:52,6:55,6:57,,,7:01,7:03,7:05,7:07,7:11,7:13,,7:18,7:20,7:26,7:29,7:37,7:41,7:46,7:51,7:59,8:01,8:03,,,,,,,,,,
A,V003,S9,6:40,6:42,6:44,6:46,6:48,6:50,6:51,6:54,6:56,6:59,7:01,7:03,7:04,7:07,7:09,7:11,,,,,,,,,,,,,,,,,,,,,,,,,
A,M001,S8,6:45,6:47,6:49,6:51,6:53,6:55,6:56,6:59,7:01,7:04,7:06,7:08,7:09,7:12,7:14,7:16,7:18,7:22,7:24,7:28,7:30,7:32,,,,,,,,,,,,,,,,,,,
A,V005,S9,6:50,6:52,6:54,6:56,6:58,7:00,7:01,7:04,7:06,7:09,7:11,7:13,7:14,7:17,7:19,7:21,,,,,,,,,,,,,,,,,,,,,,,,,
A,O007,S4,6:55,6:57,6:59,7:01,7:03,7:05,7:06,7:09,7:11,7:14,7:16,7:18,7:19,7:22,7:24,7:26,7:28,7:32,7:34,7:38,7:40,7:42,7:48,7:51,,,,,,,,,,,,,,,,,
A,V007,S3,7:01,7:03,7:05,7:07,7:09,7:11,7:12,7:15,7:17,7:20,7:22,7:24,7:25,7:28,7:30,,,,,,,,,,,,,,,,,,,,,,,,,,
A,L005,L8,7:07,7:09,7:11,7:13,7:15,7:17,7:18,7:21,7:23,7:26,7:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,P407,R6,7:12,7:14,7:16,7:18,7:20,7:22,7:23,7:26,7:28,7:31,7:33,,7:36,7:38,7:40,7:42,7:44,7:48,7:50,,7:55,7:57,,,,,,,,,,8:05,8:11,8:12,8:17,8:28,8:35,8:38,8:44,8:49,8:51
A,N407,R5,7:16,7:18,7:20,7:22,7:24,7:26,7:27,7:30,7:32,7:35,7:37,,,7:41,7:43,7:45,7:47,7:51,7:53,,7:58,8:00,8:06,8:09,8:17,8:21,8:26,8:31,8:39,8:41,8:43,,,,,,,,,,
A,O009,S4,7:20,7:22,7:24,7:26,7:28,7:30,7:31,7:34,7:36,7:39,7:41,7:43,7:44,7:47,7:49,7:51,7:53,7:57,7:59,8:03,8:05,8:07,8:13,8:16,,,,,,,,,,,,,,,,,
A,V009,S3,7:25,7:27,7:29,7:31,7:33,7:35,7:36,7:39,7:41,7:44,7:46,7:48,7:49,7:52,7:54,,,,,,,,,,,,,,,,,,,,,,,,,,
A,M003,S8,7:30,7:32,7:34,7:36,7:38,7:40,7:41,7:44,7:46,7:49,7:51,7:53,7:54,7:57,7:59,8:01,8:03,8:07,8:09,8:13,8:15,8:17,,,,,,,,,,,,,,,,,,,
A,N409,R5,7:36,7:38,7:40,7:42,7:44,7:46,7:47,7:50,7:52,7:55,7:57,,,8:01,8:03,8:05,8:07,8:11,8:13,,8:18,8:20,8:26,8:29,8:37,8:41,8:46,8:51,8:59,9:01,9:03,,,,,,,,,,
A,V011,S9,7:40,7:42,7:44,7:46,7:48,7:50,7:51,7:54,7:56,7:59,8:01,8:03,8:04,8:07,8:09,8:11,,,,,,,,,,,,,,,,,,,,,,,,,
A,O011,S4,7:44,7:46,7:48,7:50,7:52,7:54,7:55,7:58,8:00,8:03,8:05,8:07,8:08,8:11,8:13,8:15,8:17,8:21,8:23,8:27,8:29,8:31,8:37,8:40,,,,,,,,,,,,,,,,,
